epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
25,1046.69,0.99567,0.86623,1.06523,0.46276,0.44218,0.43506,0.21961,1.53486,1.91554,1.51491,0.00107216,0.00107216,0.00107216
26,1087.15,0.95527,0.82708,1.03568,0.5773,0.47615,0.4599,0.23023,1.55974,1.88321,1.47298,0.00101,0.00101,0.00101
27,1129.83,0.92899,0.82104,1.04208,0.51612,0.51155,0.47207,0.25175,1.49108,1.81179,1.47633,0.000947837,0.000947837,0.000947837
28,1169.78,0.94476,0.80581,1.02654,0.62813,0.46939,0.54594,0.24125,1.55314,1.89829,1.4681,0.00088592,0.00088592,0.00088592
29,1209.1,0.92269,0.7965,1.01823,0.51478,0.52551,0.51906,0.27255,1.46026,1.83771,1.40708,0.000824492,0.000824492,0.000824492
30,1249.48,0.89823,0.78157,1.01422,0.73705,0.53868,0.65174,0.33896,1.42707,1.72432,1.4115,0.000763797,0.000763797,0.000763797
31,1288.81,0.87706,0.75892,1.00202,0.68205,0.56183,0.66651,0.3861,1.30299,1.73249,1.30016,0.000704073,0.000704073,0.000704073
32,1329.86,0.8585,0.75805,1.00427,0.55746,0.54415,0.51782,0.24523,1.31637,1.89426,1.42882,0.000645557,0.000645557,0.000645557
33,1370.57,0.83544,0.71773,0.98207,0.69788,0.56803,0.65571,0.35546,1.32005,1.67729,1.41692,0.000588479,0.000588479,0.000588479
34,1410.66,0.82114,0.71077,0.98233,0.78807,0.55652,0.67982,0.37236,1.31779,1.63019,1.34753,0.000533064,0.000533064,0.000533064
35,1450.94,0.83061,0.71453,0.98,0.66464,0.54762,0.65139,0.40626,1.19371,1.56261,1.31068,0.000479531,0.000479531,0.000479531
36,1492.91,0.8026,0.69891,0.98448,0.73037,0.59354,0.68796,0.40421,1.20586,1.64113,1.32914,0.000428093,0.000428093,0.000428093
37,1533.4,0.79796,0.68886,0.97075,0.58732,0.62585,0.61374,0.35498,1.24384,1.59118,1.3983,0.00037895,0.00037895,0.00037895
38,1573.02,0.79353,0.66487,0.96437,0.69224,0.60822,0.71072,0.43406,1.16516,1.50091,1.28923,0.000332298,0.000332298,0.000332298
